User,January,Febuary,March,April,May,June,July,August,September,October,November,December,January,Febuary,March,April,May,June,July,August,September,October,November,December,January,Febuary,March,April,May,June,July,August,September,October,November,December
26,10.92,7.702,10.302,10.441,11.8,7.359,10.826,11.151,8.763,8.209,11.768,11.959,9.077,9.835,11.868,10.552,7.077,6.15,9.657,7.858,7.025,8.829,7.418,6.025,7.715,8.867,11.103,10.842,9.398,7.663,9.173,7.596,6.462,10.985,10.258,10.831
27,11.318,8.971,10.804,6.56,10.654,7.805,10.656,10.504,6.936,11.301,10.746,8.049,9.975,7.561,11.084,10.965,7.172,9.082,6.814,10.817,10.403,8.48,7.768,9.246,7.687,8.371,6.193,9.127,8.79,6.069,11.91,7.505,8.98,8.704,6.088,7.141
28,4.841,3.723,4.761,4.57,3.013,4.124,5.805,5.659,4.368,3.827,5.687,4.169,5.105,3.365,4.13,4.625,4.494,4.278,4.727,3.561,4.798,3.172,4.465,3.224,5.303,3.235,3.755,4.083,4.114,4.909,3.286,5.282,5.217,3.5,4.994,4.548
29,16.11,13.284,12.263,9.304,15.596,12.573,17.25,13.744,15.378,10.075,15.755,16.052,12.787,16.032,15.511,10.52,14.339,12.064,17.275,12.903,17.342,17.754,9.841,15.06,12.938,10.801,17.728,9.919,14.312,9.862,13.605,16.446,14.596,14.463,13.932,10.514
30,12.041,12.8,9.718,11.082,15.394,14.041,14.633,12.744,16.814,14.873,15.183,17.118,13.146,17.261,14.917,10.676,14.326,13.651,9.026,15.929,13.543,14.356,15.069,9.768,13.191,15.702,11.177,12.341,14.868,17.878,11.097,16.104,11.688,11.135,13.3,9.223
31,14.395,17.244,16.608,14.156,13.928,12.979,10.389,15.448,11.105,13.464,17.579,13.12,10.054,17.885,14.454,13.07,9.732,16.138,15.081,10.246,16.997,15.6,10.837,10.37,9.967,9.25,14.1,16.459,11.721,10.741,14.72,11.753,13.619,14.95,10.618,17.126
32,21.131,12.366,19.603,17.338,13.61,16.421,12.936,15.034,22.022,19.878,17.65,22.796,21.663,14.194,20.809,16.915,18.326,22.955,13.641,20.204,19.451,18.83,16.708,17.257,14.274,17.219,13.409,20.554,20.072,13.859,17.961,23.048,16.487,18.214,19.426,22.086
33,15.705,17.739,23.07,14.519,21.333,15.292,15.421,20.704,17.515,18.768,12.881,12.872,18.863,21.732,23.939,19.335,19.58,17.965,15.035,16.313,17.577,17.538,17.555,12.044,16.46,17.298,17.286,18.83,22.46,22.798,20.79,14.609,16.492,17.188,13.311,14.645
34,12.317,15.948,21.692,20.157,16.668,22.069,15.943,23.508,12.712,20.949,17.481,19.786,12.529,19.441,23.123,15.355,19.084,15.276,17.039,23.917,12.409,19.379,23.7,21.093,20.763,22.221,15.625,23.17,12.091,23.334,17.205,12.666,20.12,13.551,16.379,22.826
35,16.045,17.382,15.468,14.211,15.347,12.842,19.71,17.468,23.095,12.147,19.086,12.673,15.506,13.036,22.557,19.607,23.193,17.614,17.196,15.544,17.293,21.105,23.308,21.238,22.986,17.207,19.63,12.053,19.028,22.57,23.306,19.77,20.611,19.768,21.346,13.932
36,23.857,24.216,17.265,24.473,17.192,27.446,20.862,28.588,17.969,19.038,29.119,23.979,24.358,17.929,24.864,29.746,27.618,23.417,15.567,29.874,28.057,23.287,18.637,23.727,28.102,29.678,27.145,20.038,26.355,18.425,20.055,16.674,29.196,18.913,24.968,27.123
37,16.832,15.151,24.349,25.277,28.79,16.445,25.931,17.895,19.748,16.274,28.768,22.195,27.056,16.662,18.899,22.939,17.693,29.166,26.207,17.6,23.904,20.292,28.778,19.008,28.595,24.262,22.472,28.798,28.289,28.074,26.824,29.186,26.391,22.008,23.227,16.527
38,26.529,19.599,21.628,20.014,17.042,29.672,27.925,21.699,16.963,23.314,21.055,26.508,24.461,26.397,15.457,17.794,29.4,27.006,17.376,15.153,19.164,16.643,27.975,19.184,15.863,15.109,19.12,22.068,24.993,19.788,18.651,28.604,20.095,29.534,26.101,20.967
39,4.179,5.734,4.199,4.185,5.032,3.26,3.107,5.127,4.249,5.054,4.465,5.479,3.421,4.08,5.164,3.78,4.537,5.103,3.561,3.655,4.983,3.152,5.61,3.944,3.214,4.275,5.883,3.394,5.622,5.86,4.816,3.492,3.925,5.087,3.817,3.356
40,4.607,4.386,5.333,3.097,3.608,4.11,4.673,3.181,5.967,4.913,3.53,4.266,5.756,4.387,4.686,4.938,3.451,5.284,5.364,4.382,5.131,3.068,5.273,5.028,5.685,5.389,4.45,3.427,3.097,5.352,3.594,3.203,5.941,5.919,5.294,4.027
41,5.225,3.667,4.756,3.388,5.3,5.807,4.471,5.797,5.182,5.438,5.821,4.612,4.27,4.943,5.856,5.345,4.838,3.006,5.385,4.705,5.728,3.388,5.229,5.307,4.42,5.399,3.505,4.401,3.099,3.357,3.076,4.832,3.706,3.332,4.032,5.484
42,11.542,9.873,7.326,8.122,6.293,11.177,6.844,11.411,6.145,7.987,10.384,8.969,8.443,11.795,7.637,7.709,6.155,8.948,11.711,11.097,6.347,11.9,8.689,11.101,6.485,7.733,6.74,10.781,9.381,8.895,11.163,11.095,10.17,11.812,10.31,10.395
43,9.333,11.662,6.369,10.567,10.647,10.064,9.578,10.205,11.586,9.655,10.752,11.253,11.924,10.314,10.917,9.743,9.84,6.754,7.046,6.169,10.013,10.066,10.837,7.957,6.067,11.468,10.343,7.61,6.017,7.408,8.713,8.945,7.535,7.37,7.855,11.062
44,5.201,5.876,4.275,5.674,3.053,5.571,4.589,5.18,4.486,3.801,3.581,4.109,5.605,4.62,4.083,3.411,3.943,5.894,4.31,4.973,5.608,5.92,5.207,5.007,3.606,4.401,3.439,3.507,3.006,3.575,3.796,4.484,3.824,3.5,4.221,5.089
45,17.445,15.311,11.346,10.611,13.508,16.841,15.234,9.507,12.822,10.736,15.829,16.24,12.501,14.457,11.425,10.096,10.205,11.839,9.598,16.698,13.627,12.159,9.503,10.518,10.008,10.391,11.087,9.261,12.092,17.368,13.536,12.42,12.762,16.781,17.661,16.782
46,9.003,14.233,16.262,14.789,10.76,14.984,11.776,14.054,15.565,14.092,13.216,15.951,13.086,11.151,13.585,16.043,9.967,9.937,15.266,15.492,9.511,14.486,13.856,9.928,9.809,14.848,9.747,10.448,14.02,17.306,13.03,10.441,11.334,13.98,14.306,10.207
47,16.253,12.68,12.59,12.874,11.757,14.684,17.106,14.826,17.987,11.908,9.817,14.232,16.769,16.339,12.066,16.363,11.487,15.272,10.563,13.676,14.296,17.822,10.343,13.454,12.543,9.895,13.682,9.372,13.773,13.419,13.653,13.125,9.399,16.379,16.58,15.689
48,19.813,23.22,21.058,20.301,21.406,18.88,13.627,19.918,18.955,12.186,15.132,22.597,17.463,16.48,21.626,19.501,23.798,12.501,23.573,20.006,12.073,19.182,15.65,23.312,13.667,23.42,22.759,20.065,22.928,15.533,17.939,22.381,14.779,13.655,16.883,22.361
49,18.485,16.169,14.879,14.025,13.96,22.714,17.463,16.406,21.774,14.134,15.886,13.58,14.361,21.828,17.901,20.075,23.522,16.565,19.773,16.585,16.25,22.833,13.991,22.779,19.035,17.489,19.271,16.952,21.315,17.943,12.149,21.272,14.031,18.505,16.666,16.764
50,21.915,19.742,16.855,16.289,21.211,15.583,19.165,23.092,15.264,16.526,21.767,16.797,21.071,12.766,14.901,23.214,13.873,18.184,22.872,13.786,17.354,21.65,22.55,16.735,22.111,18.165,14.253,22.422,14.074,19.58,14.978,13.918,18.848,14.034,20.89,15.502
51,18.226,18.141,13.271,20.336,14.01,19.251,14.271,12.331,22.383,12.998,12.543,14.015,19.552,15.085,12.024,14.215,21.036,16.116,15.723,14.231,15.172,20.55,21.365,22.785,20.593,18.655,14.906,21.368,17.337,17.209,19.567,13.312,13.364,23.254,18.054,17.967
52,3.151,3.737,3.921,4.257,4.737,3.443,3.274,4.256,4.808,3.328,4.443,3.358,3.968,3.809,4.531,4.105,3.708,3.504,3.766,4.215,4.259,3.547,4.126,3.558,4.242,4.46,3.795,4.287,4.844,4.63,4.196,3.494,4.632,3.209,4.541,4.406
53,50.795,54.82,37.128,57.095,37.956,38.18,53.142,47.262,53.013,41.28,30.328,50.498,58.292,39.624,39.671,45.615,50.831,40.912,44.369,34.532,45.323,40.773,42.827,34.565,32.419,34.041,35.148,44.81,30.282,30.399,37,57.853,40.327,35.573,30.917,36.724
54,12.89,10.579,11.834,12.249,13.482,11.131,13.629,11.8,13.636,12.026,12.712,13.624,13.139,10.737,11.04,10.361,12.994,12.902,12.537,13.988,13.743,10.384,10.797,12.947,12.004,10.978,13.618,11.411,10.85,12.197,12.478,11.898,11.109,10.421,12.906,10.811
55,41.615,22.665,40.145,28.686,29.141,32.876,22.208,29.464,39.536,32.436,21.314,29.752,23.642,31.355,31.432,40.716,41.875,36.875,25.487,31.186,40.357,33.227,22.628,31.547,25.252,23.886,40.291,39.231,39.061,36.981,34.241,21.645,24.905,23.625,39.713,40.876
56,18.026,15.347,22.874,23.081,14.075,17.937,12.234,14.46,18.612,22.81,16.884,16.166,20.999,13.689,21.971,23.196,23.701,21.234,17.352,16.593,16.898,12.202,13.794,21.552,15.119,22.277,21.167,14.815,22.083,21.039,13.925,18.488,16.227,18.728,22.946,23.818
57,6.355,8.565,6.982,11.397,9.374,7.069,7.218,11.883,10.083,8.76,10.026,10.842,7.128,9.718,8.776,6.303,11.874,7.824,9.515,8.059,8.647,7.659,8.197,7.175,9.053,9.395,7.443,10.092,8.603,11.803,6.553,11.428,10.282,9.077,9.106,6.237
58,45.023,47.473,33.906,44.253,40.897,40.269,24.58,33.869,26.53,24.905,26.818,34.376,45.186,34.85,34.478,24.344,32.53,43.585,37.804,38.035,26.012,36.728,31.332,32.53,45.822,45.238,26.081,30.011,43.709,47.256,26,45.526,41.698,31.762,34.576,40.259
59,57.125,38.247,43.356,48.63,40.63,55.722,39.415,58.688,49.533,45.054,48.625,36.38,32.191,31.076,50.416,56.469,31.354,35.271,41.678,56.361,58.58,53.933,55.755,42.489,54.311,55.255,44.503,36.824,39.879,59.011,34.651,53.004,30.09,35.666,55.151,48.414
60,4.849,3.929,5.075,4.132,3.659,4.039,5.351,5.297,3.101,3.663,5.833,5.192,5.126,3.676,4.928,3.392,3.541,5.698,4.882,5.346,5.725,3.02,4.885,4.339,3.158,5.044,4.707,5.727,4.94,5.009,4.318,5.973,5.633,3.177,4.994,4.229
61,19.051,23.496,23.592,18.858,22.857,12.868,20.471,22.309,14.28,20.221,16.043,18.454,19.049,16.371,16.147,18.864,19.576,17.877,23.723,15.104,22.54,12.877,14.16,13.014,20.562,21.173,13.73,14.374,19.037,14.93,20.635,17.872,16.284,14.65,22.389,22.26
62,34.005,27.565,41.836,35.006,26.343,27.327,32.384,27.239,23.878,33.081,28.806,35.292,31.814,38.027,33.716,32.476,28.644,29.562,41.575,27.997,21.128,40.506,33.022,30.58,36.202,39.334,36.886,37.478,38.183,31.263,25.349,32.81,40.836,32.359,33.324,29.054
63,3.539,3.385,5.88,4.568,5.383,5.114,4.978,4.985,5.123,3.168,5.279,3.385,3.923,5.959,4.094,3.409,4.202,4.552,3.104,3.493,4.939,3.13,3.831,3.217,5.717,3.989,5.919,5.567,3.061,4.604,5.454,3.39,4.119,4.445,4.522,4.217
64,40.976,44.765,33.515,45.293,35.038,30.237,49.745,28.433,36.7,32.375,43.836,41.746,51.606,36.235,38.757,48.905,32.488,29.351,35.049,29.369,38.62,52.993,37.58,37.453,28.373,35.195,39.509,29.331,39.595,35.311,32.01,32.102,27.976,44.285,27.051,38.008
65,13.461,11.455,13.631,10.015,10.184,13.626,11.808,10.694,15.292,16.836,14.845,9.449,13.908,9.936,16.621,14.498,10.201,10.868,14.249,13.741,10.579,11.952,15.975,9.649,14.929,12.137,16.361,9.717,9.214,11.517,11.272,15.671,15.067,9.855,12.262,10.915
66,39.014,41.378,53.981,41.352,30.641,47.93,58.597,58.379,45.19,38.701,30.032,53.003,32.322,30.827,56.924,59.624,39.011,32.304,51.379,32.596,44.46,50.704,58.638,45.048,32.335,43.102,44.84,55.202,33.497,35.033,47.992,45.158,39.677,44.055,57.066,37.442
67,28.029,27.286,26.927,29.978,27.304,25.03,29.064,29.278,29.197,25.676,29.183,29.422,25.098,26.721,28.149,28.425,28.622,25.235,25.41,28.009,27.888,28.914,28.678,25.803,25.747,29.971,29.852,28.787,28.772,26.476,26.485,25.023,26.707,27.833,28.26,28.437
68,21.058,21.701,21.4,24.24,21.059,21.703,18.522,21.837,22.137,20.451,23.044,23.42,25.766,20.994,24.397,23.775,21.769,24.63,25.042,19.997,20.914,25.343,21.164,24.887,18.42,21.117,18.827,19.263,21.276,18.956,21.823,21.195,18.164,22.226,22.486,19.959
69,16.773,13.879,22.566,12.954,20.654,12.501,17.77,17.338,17.136,17.191,22.396,19.745,23.812,12.56,15.677,19.265,17.036,22.48,21.427,20.263,18.229,17.871,20.52,22.181,22.319,19.804,12.817,17.146,19.654,23.081,14.489,14.245,13.443,17.565,21.039,12.169
70,5.653,5.11,4.472,3.462,3.219,3.949,5.292,5.583,3.714,5.092,5.559,3.384,4.518,3.827,3.969,4.564,4.889,5.831,5.351,4.55,3.288,4.494,4.086,4.099,3.285,3.504,4.867,5.937,5.743,3.36,4.665,5.11,4.412,3.629,4.18,4.259
71,29.925,26.047,29.218,25.577,27.522,27.111,27.546,25.819,29.661,25.96,28.533,26.179,28.229,25.506,26.244,28.994,28.042,29.894,25.463,25.983,29.759,27.812,28.402,25.642,27.168,25.959,27.039,25.236,25.444,29.274,25.135,27.542,27.687,26.871,27.986,25.269
72,23.19,36.646,39.471,33.195,40.095,38.64,41.592,40.34,26.827,27.473,21.718,40.314,21.248,28.177,21.722,23.207,33.429,22.417,25.423,26.951,23.923,31.201,26.856,34.385,24.496,24.219,29.27,37.994,36.592,28.78,26.716,24.566,34.029,36.488,23.543,37.138
73,20.292,23.842,13.491,16.212,16.122,19.49,17.889,20.231,18.159,19.293,23.047,17.596,15.047,12.514,19.104,16.326,13.88,17.61,13.055,23.931,13.149,15.841,15.918,22.468,15.657,17.064,16.486,15.659,15.832,23.271,15.952,23.673,17.118,20.694,19.246,16.613
74,13.266,17.562,10.587,13.204,10.503,9.761,15.358,9.892,14.953,17.966,10.063,16.42,12.366,17.869,14.32,17.179,11.768,11.111,16.475,12.491,11.914,9.935,9.043,17.341,10.996,11.908,15.236,11.497,16.8,16.079,14.725,13.196,16.612,10.178,17.073,13.361
75,12.711,10.605,16.574,13.118,18.354,19.195,15.839,17.811,11.295,17.071,14.937,12.091,11.368,15.041,13.754,10.134,13.587,13.179,14.327,13.522,14.337,17.826,15.619,18.084,18.117,11.468,16.392,18.315,16.797,12.199,16.458,19.184,11.428,13.131,12.45,18.118
76,3.651,5.98,5.167,4.667,5.456,3.447,4.808,4.04,5.54,4.941,5.157,4.227,3.393,3.548,3.879,4.75,3.941,4.209,4.737,5.589,5.692,5.063,4.023,3.013,3.738,3.98,3.938,3.929,4.292,4.308,3.376,3.253,4.323,3.277,4.481,4.658
77,14.071,17.087,9.201,9.995,10.272,14.949,14.079,11.629,9.097,17.126,10.164,13.872,13.285,12.348,12.042,13.219,9.02,16.31,11.143,17.725,14.463,16.167,13.734,12.603,9.99,16.119,9.019,12.883,15.654,13.792,14.558,13.497,11.506,17.836,16.091,16.574
78,4.86,4.7,5.7,4.142,5.027,3.371,5.363,4.734,5.705,4.938,5.711,3.992,3.116,3.607,4.321,4.447,5.856,5.134,3.445,3.88,4.847,3.839,4.172,5.879,4.234,5.693,3.738,5.611,5.385,5.46,4.522,3.922,4.619,3.065,3.116,5.039
79,23.575,25.735,35.055,18.344,33.789,27.46,33.631,35.32,28.342,21.298,32.324,29.2,27.505,27.998,26.406,31.962,19.042,35.942,27.521,21.515,29.716,23.625,26.81,20.004,30.581,26.687,26.091,26.109,22.097,23.044,23.635,34.734,34.17,35.138,24.546,23.002
80,31.268,29.742,28.108,34.52,35.388,33.554,29.744,23.571,38.407,30.886,23.004,30.482,24.617,41.947,41.552,38.881,36.973,37.867,21.461,41.193,38.5,27.142,27.305,22.733,26.422,28.331,28.881,21.821,40.821,41.591,24.248,21.188,41.719,34.855,39.131,34.564
81,23.456,32.798,29.646,37.777,33.192,31.52,37.043,25.695,29.306,33.861,23.32,21.188,26.693,39.95,39.554,21.346,27.491,37.38,29.058,25.842,27.727,22.385,24.288,38.195,29.018,24.957,34.22,22.197,34.335,28.66,33.481,38.89,30.216,37.748,24.549,29.437
82,38.343,33.967,35.019,42.248,33.566,33.848,52.076,47.02,46.956,34.856,39.762,28.885,51.277,44.977,45.333,30.425,29.568,49.531,29.935,45.046,47.391,48.591,28.697,36.251,50.322,35.494,52.773,30.107,31.091,49.123,44.091,44.641,50.099,31.149,41.522,49.333
83,28.673,23.716,36.153,31.087,29.287,36.798,26.173,33.264,26.594,23.384,37.967,30.527,25.187,37.148,41.39,39.271,21.819,32.321,25.507,30.597,41.068,24.575,32.336,28.553,24.155,36.72,38.725,22.119,30.19,26.278,27.731,27.8,28.899,38.15,23.516,41.887
84,40.726,49.499,30.188,46.181,40.339,43.038,45.101,31.991,49.599,47.656,49.181,52.825,29.496,36.469,28.587,41.355,52.874,33.114,37.682,43.159,46.8,41.505,46.329,36.307,46.54,33.414,49.533,49.578,48.429,27.779,46.921,41.566,34.627,51.992,30.037,48.338
85,4.257,5.901,3.106,4.789,4.18,3.348,3.319,3.163,4.374,3.232,3.084,4.605,4.762,4.37,3.617,3.458,4.657,3.872,3.008,3.678,3.447,3.465,4.838,3.617,4.719,5.171,4.281,5.996,5.565,4.675,3.419,3.407,3.1,3.629,4.189,5.103
86,35.473,38.325,35.908,27.401,36.193,37.127,33.429,33.38,30.089,23.804,30.13,31.713,28.308,41.577,27.486,35.098,40.883,35.587,35.17,38.6,30.797,31.234,29.404,38.095,33.408,29.961,23.288,29.64,27.007,25.936,33.895,27.461,33.122,27.984,26.424,40.54
87,12.807,17.387,16.789,17.771,15.872,14.771,16.382,9.236,12.531,16.392,13.744,16.421,11.417,11.246,14.908,10.92,9.847,15.843,14.393,17.769,12.866,13.464,9.189,9.486,13.806,9.111,13.839,16.275,11.804,10.364,10.471,11.755,10.493,14.846,17.527,9.575
88,4.398,4.848,5.759,3.339,3.433,3.482,5.814,4.193,4.626,3.179,5.081,4.601,3.666,4.646,4.91,4.251,5.24,4.058,3.629,3.356,4.159,5.65,3.741,3.605,4.07,5.417,3.823,4.922,4.598,3.557,4.54,4.999,4.249,3.733,5.103,3.248
89,14.884,22.91,14.139,23.152,17.665,19.726,15.869,18.509,13.618,23.298,14.322,14.89,20.639,15.06,22.57,17.197,23.504,16.46,23.856,20.101,17.765,13.283,15.61,15.003,18.442,23.653,17.857,14.047,19.914,19.599,17.402,19.179,18.816,16.122,14.231,14.837
90,14.959,14.425,14.081,21.684,12.568,18.613,18.661,16.295,23.584,15.532,13.869,17.071,22.229,21.621,22.488,19.656,23.822,20.951,16.655,14.141,16.862,18.197,19.383,15.702,14.606,14.619,14.158,14.27,21.122,23.192,22.365,23.662,20.449,16.479,18.449,15.402
91,23.073,22.748,23.371,21.939,22.487,21.747,22.293,21.832,22.445,22.322,23.925,22.753,23.236,21.996,23.761,21.423,22.215,21.457,21.227,22.555,22.148,22.815,21.946,23.242,21.641,21.408,21.589,21.033,22.842,23.072,23.51,21.964,21.48,23.829,22.592,23.22
92,4.691,15.549,2.011,21.082,19.188,8.594,16.976,19.252,18.323,10.709,13.936,21.684,5.669,21.545,11.355,10.888,21.611,2.963,6.886,21.447,19.717,9.553,20.793,17.726,2.756,10.227,2.467,16.101,14.769,14.114,22.83,21.702,16.599,19.927,8.59,7.931
93,5.101,5.92,3.137,3.681,3.136,5.758,4.822,3.334,5.016,5.728,4.547,4.637,3.358,4.396,4.452,3.118,4.842,4.598,4.625,3.47,3.73,4.028,5.61,5.883,5.39,3.356,5.85,3.541,4.722,4.848,5.835,5.074,5.658,3.142,4.21,5.571
94,5.82,5.945,3.467,3.481,5.458,5.936,3.605,3.916,4.594,3.157,4.689,3.504,3.056,4.581,5.735,3.927,5.238,3.328,4.967,5.031,4.008,3.445,5.265,5.086,4.805,4.903,4.63,5.869,3.071,4.058,3.161,5.408,4.433,4.619,5.396,5.663
